nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
0,restart_syscall,ok,long,0,,,,,,
1,exit,ok,long,1,int error_code,,,,,
2,fork,ok,long,0,,,,,,
3,read,ok,long,3,unsigned int fd,char * buf,size_t count,,,
4,write,ok,long,3,unsigned int fd,const char * buf,size_t count,,,
5,open,ok,long,3,const char * filename,int flags,umode_t mode,,,
6,close,ok,long,1,unsigned int fd,,,,,
8,creat,ok,long,2,const char * pathname,umode_t mode,,,,
9,link,ok,long,2,const char * oldname,const char * newname,,,,
10,unlink,ok,long,1,const char * pathname,,,,,
11,execve,ok,long,3,const char * filename,const char * const * argv,const char * const * envp,,,
12,chdir,ok,long,1,const char * filename,,,,,
14,mknod,ok,long,3,const char * filename,umode_t mode,unsigned dev,,,
15,chmod,ok,long,2,const char * filename,umode_t mode,,,,
16,lchown,ok,long,3,const char * filename,uid_t user,gid_t group,,,
19,lseek,ok,long,3,unsigned int fd,off_t offset,unsigned int whence,,,
20,getpid,ok,long,0,,,,,,
21,mount,ok,long,5,char * dev_name,char * dir_name,char * type,unsigned long flags,void * data,
23,setuid,ok,long,1,uid_t uid,,,,,
24,getuid,ok,long,0,,,,,,
26,ptrace,ok,long,4,long request,long pid,unsigned long addr,unsigned long data,,
29,pause,ok,long,0,,,,,,
33,access,ok,long,2,const char * filename,int mode,,,,
34,nice,ok,long,1,int increment,,,,,
36,sync,ok,long,0,,,,,,
37,kill,ok,long,2,pid_t pid,int sig,,,,
38,rename,ok,long,2,const char * oldname,const char * newname,,,,
39,mkdir,ok,long,2,const char * pathname,umode_t mode,,,,
40,rmdir,ok,long,1,const char * pathname,,,,,
41,dup,ok,long,1,unsigned int fildes,,,,,
42,pipe,ok,long,1,int * fildes,,,,,
43,times,ok,long,1,struct tms * tbuf,,,,,
45,brk,ok,long,1,unsigned long brk,,,,,
46,setgid,ok,long,1,gid_t gid,,,,,
47,getgid,ok,long,0,,,,,,
49,geteuid,ok,long,0,,,,,,
50,getegid,ok,long,0,,,,,,
51,acct,ok,long,1,const char * name,,,,,
52,umount2,ok,long,2,char * name,int flags,,,,
54,ioctl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
55,fcntl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
57,setpgid,ok,long,2,pid_t pid,pid_t pgid,,,,
60,umask,ok,long,1,int mask,,,,,
61,chroot,ok,long,1,const char * filename,,,,,
62,ustat,ok,long,2,unsigned dev,struct ustat * ubuf,,,,
63,dup2,ok,long,2,unsigned int oldfd,unsigned int newfd,,,,
64,getppid,ok,long,0,,,,,,
65,getpgrp,ok,long,0,,,,,,
66,setsid,ok,long,0,,,,,,
67,sigaction,ok,long,3,int sig,const struct old_sigaction * act,struct old_sigaction * oact,,,
70,setreuid,ok,long,2,uid_t ruid,uid_t euid,,,,
71,setregid,ok,long,2,gid_t rgid,gid_t egid,,,,
72,sigsuspend,ok,long,3,int unused1,int unused2,old_sigset_t mask,,,
73,sigpending,ok,long,1,old_sigset_t * uset,,,,,
74,sethostname,ok,long,2,char * name,int len,,,,
75,setrlimit,ok,long,2,unsigned int resource,struct rlimit * rlim,,,,
77,getrusage,ok,long,2,int who,struct rusage * ru,,,,
78,gettimeofday,ok,long,2,struct __kernel_old_timeval * tv,struct timezone * tz,,,,
79,settimeofday,ok,long,2,struct __kernel_old_timeval * tv,struct timezone * tz,,,,
80,getgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
81,setgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
83,symlink,ok,long,2,const char * oldname,const char * newname,,,,
85,readlink,ok,long,3,const char * path,char * buf,int bufsiz,,,
86,uselib,ok,long,1,const char * library,,,,,
87,swapon,ok,long,2,const char * specialfile,int swap_flags,,,,
88,reboot,ok,long,4,int magic1,int magic2,unsigned int cmd,void * arg,,
91,munmap,ok,long,2,unsigned long addr,size_t len,,,,
92,truncate,ok,long,2,const char * path,long length,,,,
93,ftruncate,ok,long,2,unsigned int fd,unsigned long length,,,,
94,fchmod,ok,long,2,unsigned int fd,umode_t mode,,,,
95,fchown,ok,long,3,unsigned int fd,uid_t user,gid_t group,,,
96,getpriority,ok,long,2,int which,int who,,,,
97,setpriority,ok,long,3,int which,int who,int niceval,,,
99,statfs,ok,long,2,const char * pathname,struct statfs * buf,,,,
100,fstatfs,ok,long,2,unsigned int fd,struct statfs * buf,,,,
103,syslog,ok,long,3,int type,char * buf,int len,,,
104,setitimer,ok,long,3,int which,struct __kernel_old_itimerval * value,struct __kernel_old_itimerval * ovalue,,,
105,getitimer,ok,long,2,int which,struct __kernel_old_itimerval * value,,,,
106,stat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
107,lstat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
108,fstat,ok,long,2,unsigned int fd,struct __old_kernel_stat * statbuf,,,,
111,vhangup,ok,long,0,,,,,,
114,wait4,ok,long,4,pid_t upid,int * stat_addr,int options,struct rusage * ru,,
115,swapoff,ok,long,1,const char * specialfile,,,,,
116,sysinfo,ok,long,1,struct sysinfo * info,,,,,
118,fsync,ok,long,1,unsigned int fd,,,,,
119,sigreturn,ok,long,0,,,,,,
120,clone,ok,long,5,unsigned long clone_flags,unsigned long newsp,int * parent_tidptr,unsigned long tls,int * child_tidptr,
121,setdomainname,ok,long,2,char * name,int len,,,,
122,uname,ok,long,1,struct old_utsname * name,,,,,
124,adjtimex,ok,long,1,struct __kernel_timex * txc_p,,,,,
125,mprotect,ok,long,3,unsigned long start,size_t len,unsigned long prot,,,
126,sigprocmask,ok,long,3,int how,old_sigset_t * nset,old_sigset_t * oset,,,
128,init_module,ok,long,3,void * umod,unsigned long len,const char * uargs,,,
129,delete_module,ok,long,2,const char * name_user,unsigned int flags,,,,
131,quotactl,ok,long,4,unsigned int cmd,const char * special,qid_t id,void * addr,,
132,getpgid,ok,long,1,pid_t pid,,,,,
133,fchdir,ok,long,1,unsigned int fd,,,,,
