nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
0,restart_syscall,ok,long,0,,,,,,
1,exit,ok,long,1,int error_code,,,,,
2,fork,ok,long,0,,,,,,
3,read,ok,long,3,unsigned int fd,char * buf,size_t count,,,
4,write,ok,long,3,unsigned int fd,const char * buf,size_t count,,,
5,open,ok,long,3,const char * filename,int flags,umode_t mode,,,
6,close,ok,long,1,unsigned int fd,,,,,
7,waitpid,ok,long,3,pid_t pid,int * stat_addr,int options,,,
8,creat,ok,long,2,const char * pathname,umode_t mode,,,,
9,link,ok,long,2,const char * oldname,const char * newname,,,,
10,unlink,ok,long,1,const char * pathname,,,,,
11,execve,ok,long,3,const char * filename,const char * const * argv,const char * const * envp,,,
12,chdir,ok,long,1,const char * filename,,,,,
13,time,ok,long,1,__kernel_old_time_t * tloc,,,,,
14,mknod,ok,long,3,const char * filename,umode_t mode,unsigned dev,,,
15,chmod,ok,long,2,const char * filename,umode_t mode,,,,
16,lchown,ok,long,3,const char * filename,uid_t user,gid_t group,,,
17,socket,ok,long,3,int family,int type,int protocol,,,
18,stat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
19,lseek,ok,long,3,unsigned int fd,off_t offset,unsigned int whence,,,
20,getpid,ok,long,0,,,,,,
21,mount,ok,long,5,char * dev_name,char * dir_name,char * type,unsigned long flags,void * data,
22,bind,ok,long,3,int fd,struct sockaddr * umyaddr,int addrlen,,,
23,setuid,ok,long,1,uid_t uid,,,,,
24,getuid,ok,long,0,,,,,,
25,stime,ok,long,1,__kernel_old_time_t * tptr,,,,,
26,ptrace,ok,long,4,long request,long pid,unsigned long addr,unsigned long data,,
27,alarm,ok,long,1,unsigned int seconds,,,,,
28,fstat,ok,long,2,unsigned int fd,struct __old_kernel_stat * statbuf,,,,
29,pause,ok,long,0,,,,,,
30,utime,ok,long,2,char * filename,struct utimbuf * times,,,,
31,connect,ok,long,3,int fd,struct sockaddr * uservaddr,int addrlen,,,
32,listen,ok,long,2,int fd,int backlog,,,,
33,access,ok,long,2,const char * filename,int mode,,,,
34,nice,ok,long,1,int increment,,,,,
35,accept,ok,long,3,int fd,struct sockaddr * upeer_sockaddr,int * upeer_addrlen,,,
36,sync,ok,long,0,,,,,,
37,kill,ok,long,2,pid_t pid,int sig,,,,
38,rename,ok,long,2,const char * oldname,const char * newname,,,,
39,mkdir,ok,long,2,const char * pathname,umode_t mode,,,,
40,rmdir,ok,long,1,const char * pathname,,,,,
41,dup,ok,long,1,unsigned int fildes,,,,,
42,pipe,ok,long,1,int * fildes,,,,,
43,times,ok,long,1,struct tms * tbuf,,,,,
44,getsockname,ok,long,3,int fd,struct sockaddr * usockaddr,int * usockaddr_len,,,
45,brk,ok,long,1,unsigned long brk,,,,,
46,setgid,ok,long,1,gid_t gid,,,,,
47,getgid,ok,long,0,,,,,,
48,signal,ok,long,2,int sig,__sighandler_t handler,,,,
49,geteuid,ok,long,0,,,,,,
50,getegid,ok,long,0,,,,,,
51,acct,ok,long,1,const char * name,,,,,
52,umount2,ok,long,2,char * name,int flags,,,,
53,getpeername,ok,long,3,int fd,struct sockaddr * usockaddr,int * usockaddr_len,,,
54,ioctl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
55,fcntl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
56,socketpair,ok,long,4,int family,int type,int protocol,int * usockvec,,
57,setpgid,ok,long,2,pid_t pid,pid_t pgid,,,,
58,send,ok,long,4,int fd,void * buff,size_t len,unsigned int flags,,
59,uname,ok,long,1,struct old_utsname * name,,,,,
60,umask,ok,long,1,int mask,,,,,
61,chroot,ok,long,1,const char * filename,,,,,
62,ustat,ok,long,2,unsigned dev,struct ustat * ubuf,,,,
63,dup2,ok,long,2,unsigned int oldfd,unsigned int newfd,,,,
64,getppid,ok,long,0,,,,,,
65,getpgrp,ok,long,0,,,,,,
66,setsid,ok,long,0,,,,,,
67,pivot_root,ok,long,2,const char * new_root,const char * put_old,,,,
68,sgetmask,ok,long,0,,,,,,
69,ssetmask,ok,long,1,int newmask,,,,,
70,setreuid,ok,long,2,uid_t ruid,uid_t euid,,,,
71,setregid,ok,long,2,gid_t rgid,gid_t egid,,,,
72,mincore,ok,long,3,unsigned long start,size_t len,unsigned char * vec,,,
73,sigpending,ok,long,1,old_sigset_t * uset,,,,,
74,sethostname,ok,long,2,char * name,int len,,,,
75,setrlimit,ok,long,2,unsigned int resource,struct rlimit * rlim,,,,
76,getrlimit,ok,long,2,unsigned int resource,struct rlimit * rlim,,,,
77,getrusage,ok,long,2,int who,struct rusage * ru,,,,
78,gettimeofday,ok,long,2,struct __kernel_old_timeval * tv,struct timezone * tz,,,,
79,settimeofday,ok,long,2,struct __kernel_old_timeval * tv,struct timezone * tz,,,,
80,getgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
81,setgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
82,sendto,ok,long,6,int fd,void * buff,size_t len,unsigned int flags,struct sockaddr * addr,int addr_len
83,symlink,ok,long,2,const char * oldname,const char * newname,,,,
84,lstat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
85,readlink,ok,long,3,const char * path,char * buf,int bufsiz,,,
86,uselib,todo,,,,,,,,
87,swapon,ok,long,2,const char * specialfile,int swap_flags,,,,
88,reboot,ok,long,4,int magic1,int magic2,unsigned int cmd,void * arg,,
89,mmap2,ok,unsigned long,6,unsigned long addr,unsigned long len,unsigned long prot,unsigned long flags,unsigned long fd,unsigned long pgoff
90,mmap,ok,unsigned long,6,unsigned long addr,unsigned long len,unsigned long prot,unsigned long flags,unsigned long fd,unsigned long offset
91,munmap,ok,long,2,unsigned long addr,size_t len,,,,
92,truncate,ok,long,2,const char * path,long length,,,,
93,ftruncate,ok,long,2,unsigned int fd,unsigned long length,,,,
94,fchmod,ok,long,2,unsigned int fd,umode_t mode,,,,
95,fchown,ok,long,3,unsigned int fd,uid_t user,gid_t group,,,
